Date,Sample ID,Species,Growing Temperature,Measurement Temperature,Jar Temperature,Nodule_mass_mg,15N (at-%),?15NAir (‰),Total N (µg),Sample Weight (mg) from Sample List,"%Natm,inc","%Nfix,inc",SNF (g N g nodule-1 hr-1),SNF (mol N2 g nodule-1 hr-1),Vmax (mol C2H4 g nodule-1 hr-1),Vmax.low (mol C2H4 g nodule-1 hr-1),Vmax.high (mol C2H4 g nodule-1 hr-1),CF (mol C2H4:mol N2),CF.low (mol C2H4:mol N2),CF.high (mol C2H4:mol N2),Size_cor,CF_size_cor,CF_size_cor_low,CF_size_cor_high
11/13/2019,A21-20,ALRU,21,20,20,97,0.37898,34.74,36.88,2.45,19.89304,0.06494,0.00002,6.93E-07,1.35E-06,1.07E-06,1.71E-06,1.955991762,1.558131009,2.481022152,0.99415794,1.944564741,1.549028314,2.466527872
11/28/2019,A21-22,ALRU,21,22.5,23,19.6,0.49966,365.89,52,2.23,19.89304,0.68295,0.000318,1.13E-05,4.62E-05,3.68E-05,5.86E-05,4.116226204,3.278799895,5.223833847,0.990808738,4.078392892,3.248663586,5.175820221
11/13/2019,A21-25,ALRU,21,25,25,99.8,0.38963,63.94,39.54,2.889,19.89304,0.1195,0.000033,1.16E-06,7.94E-06,6.32E-06,1.01E-05,6.890424839,5.487338379,8.74933721,0.994279524,6.851008329,5.455948191,8.699286836
11/22/2019,A21-27,ALRU,21,27.5,27.5,67.7,0.3933,74,46.7,2.772,19.89304,0.13828,0.000047,1.65E-06,4.65E-06,3.70E-06,5.90E-06,2.832409091,2.257199538,3.59439496,0.99288743,2.812263384,2.241145048,3.568829574
11/20/2019,A21-30,ALRU,21,30,29.5,116.6,0.381,40.27,42.07,2.535,19.89304,0.07528,0.000025,8.84E-07,3.02E-06,2.41E-06,3.83E-06,3.433375105,2.733464149,4.353833907,0.995009653,3.416241374,2.719823214,4.332106765
11/22/2019,A21-32,ALRU,21,32.5,32.5,1312.7,0.38095,40.14,38.96,2.774,19.89304,0.07502,0.000021,7.07E-07,5.02E-07,4.00E-07,6.37E-07,0.676468707,0.538523027,0.857968633,1.049899616,0.710224235,0.565395119,0.900780938
11/22/2019,A21-35,ALRU,21,35,34.5,176.7,0.37634,27.51,41.28,3.005,19.89304,0.05143,0.000014,4.99E-07,2.99E-07,2.38E-07,3.80E-07,0.601547688,0.479168455,0.762903893,0.997630406,0.600122264,0.47803302,0.761096121
11/22/2019,G21-20,GLSE,21,20,20,24.2,0.37691,29.05,37.88,2.655,19.89304,0.05432,0.000015,5.51E-07,9.60E-08,6.95E-08,1.32E-07,0.175909286,0.127287381,0.241198548,0.991007156,0.174327361,0.126142705,0.239029487
11/24/2019,G21-25,GLSE,21,25,25.5,21,0.38761,58.4,121.65,2.492,19.89304,0.10914,0.000107,3.79E-06,5.32E-06,4.02E-06,7.04E-06,1.416465049,1.071239849,1.876559372,0.990869118,1.403531473,1.061458484,1.85942473
11/24/2019,G21-30,GLSE,21,30,30,15.7,0.38736,57.71,52.59,2.17,19.89304,0.10786,0.000052,1.86E-06,2.58E-07,1.95E-07,3.43E-07,0.140368353,0.106066153,0.186237594,0.990640577,0.139054586,0.105073435,0.184494518
11/13/2019,M21-20,MOCE,21,20,20.5,75.7,0.44758,222.88,30.95,2.465,19.89304,0.41626,0.000105,3.71E-06,1.87E-05,1.41E-05,2.52E-05,5.078926832,3.840472433,6.854295298,0.993234005,5.044562837,3.814487816,6.80791917
11/21/2019,M21-22,MOCE,21,22.5,23,136.5,0.42825,169.83,35.12,2.56,19.89304,0.31724,0.000087,3.08E-06,2.13E-05,1.61E-05,2.87E-05,6.943574712,5.246728105,9.357247665,0.995875898,6.914938698,5.225090063,9.318657421
11/13/2019,M21-25,MOCE,21,25,25,40,0.43817,197.06,37.55,2.534,19.89304,0.36806,0.000109,3.87E-06,2.23E-05,1.68E-05,3.01E-05,5.815463426,4.371250458,7.827799105,0.991689282,5.767132749,4.334922228,7.762744474
11/22/2019,M21-27,MOCE,21,27.5,28,96.5,0.44764,223.04,25.64,2.063,19.89304,0.41655,0.000104,3.67E-06,2.53E-05,1.90E-05,3.39E-05,6.938880325,5.197565577,9.29765861,0.994136232,6.898192338,5.167088258,9.243139297
11/20/2019,M21-30,MOCE,21,30,29.5,78.8,0.48064,313.64,57.8,2.651,19.89304,0.58555,0.000255,9.05E-06,2.75E-05,2.07E-05,3.69E-05,3.056360276,2.303462128,4.103632964,0.993368367,3.036091618,2.288186413,4.076419176
11/22/2019,M21-32,MOCE,21,32.5,32,50.9,0.43515,188.78,38.15,2.068,19.89304,0.35261,0.00013,4.62E-06,7.09E-06,5.30E-06,9.38E-06,1.547178483,1.155992697,2.048325197,0.99216041,1.535049239,1.146930188,2.032267167
11/22/2019,M21-35,MOCE,21,35,35,78,0.40428,104.09,32.09,2.506,19.89304,0.19449,0.00005,1.77E-06,1.63E-05,1.22E-05,2.17E-05,9.268704266,6.943028319,12.34696985,0.99333369,9.206916208,6.89674394,12.26466112
11/13/2019,R21-20,ROPS,21,20,20,37.6,0.3945,77.27,166.91,2.992,19.89304,0.1444,0.000161,5.72E-06,1.72E-05,1.28E-05,2.31E-05,3.039914292,2.258253164,4.069292989,0.991585607,3.01433526,2.239251334,4.035052359
11/21/2019,R21-22,ROPS,21,22.5,22.5,34.4,0.38206,43.18,100.65,2.275,19.89304,0.08071,0.000071,2.54E-06,6.82E-06,5.07E-06,9.13E-06,2.712205242,2.015265866,3.629745192,0.991447408,2.689008858,1.998030119,3.598701462
11/24/2019,R21-25,ROPS,21,25,25,79.1,0.42311,155.74,105.38,2.365,19.89304,0.29094,0.000259,9.19E-06,4.16E-05,3.09E-05,5.57E-05,4.55321561,3.381380151,6.09698251,0.993381372,4.523079571,3.359000054,6.056628851
11/22/2019,R21-27,ROPS,21,27.5,27.5,42.8,0.41655,137.75,139.33,2.661,19.89304,0.25735,0.00027,9.57E-06,3.32E-05,2.47E-05,4.44E-05,3.497127343,2.598904877,4.68051402,0.991810263,3.46848679,2.57762053,4.642181841
11/20/2019,R21-30,ROPS,21,30,29.5,26.5,0.39144,68.89,114.49,2.951,19.89304,0.12874,0.0001,3.55E-06,1.75E-05,1.30E-05,2.34E-05,4.979246736,3.695543745,6.666041524,0.991106394,4.934963278,3.662677035,6.606756377
11/22/2019,R21-32,ROPS,21,32.5,32.5,31.3,0.41475,132.8,121.76,2.572,19.89304,0.24811,0.000235,8.34E-06,2.96E-05,2.20E-05,3.96E-05,3.58098279,2.659685162,4.792259552,0.991313565,3.549876815,2.63658198,4.750631901
11/22/2019,R21-35,ROPS,21,35,35,35.8,0.40699,111.53,114.22,2.232,19.89304,0.20838,0.000213,7.57E-06,4.45E-05,3.30E-05,5.95E-05,5.919767346,4.397440237,7.92504425,0.991507866,5.869495887,4.360096585,7.857743712
11/22/2019,A26-20,ALRU,26,20,20.5,51.1,0.38146,41.55,42.69,3.002,19.89304,0.07766,0.000022,7.84E-07,1.72E-07,1.37E-07,2.18E-07,0.220809223,0.176221911,0.28069717,0.992169059,0.219080079,0.174841928,0.278499047
1/23/2020,A26-22,ALRU,26,22.5,23,49.2,0.41147,123.82,47.06,2.681,19.89304,0.23133,0.000081,2.88E-06,1.02E-05,8.16E-06,1.30E-05,3.567755818,2.853391617,4.529240072,0.992086902,3.539523817,2.83081245,4.493399751
11/24/2019,A26-25,ALRU,26,25,25.5,12.2,0.39604,81.49,58.99,2.602,19.89304,0.15229,0.000069,2.45E-06,1.82E-05,1.46E-05,2.31E-05,7.494683559,5.998616272,9.515820508,0.990489712,7.423406957,5.941567704,9.425322314
1/23/2020,A26-27,ALRU,26,27.5,27.5,117.8,0.38168,42.14,39.9,2.759,19.89304,0.07876,0.000023,8.06E-07,6.67E-06,5.34E-06,8.47E-06,8.314458689,6.65246442,10.56405337,0.995061847,8.273400617,6.619613533,10.51188646
11/24/2019,A26-30,ALRU,26,30,30,21.6,0.49117,342.57,25.49,2.105,19.89304,0.6395,0.000155,5.50E-06,2.37E-05,1.90E-05,3.01E-05,4.34459846,3.47759752,5.513486312,0.990894997,4.305040878,3.445933984,5.463286003
1/31/2020,A26-32,ALRU,26,32.5,33,24.9,0.42134,150.88,29.4,2.122,19.89304,0.28187,0.000078,2.78E-06,3.99E-06,3.19E-06,5.07E-06,1.451865862,1.161058832,1.843554658,0.991037357,1.438853306,1.150652676,1.827031536
11/24/2019,A26-35,ALRU,26,35,35,38.3,0.44812,224.36,32.56,2.565,19.89304,0.419,0.000106,3.78E-06,9.02E-06,7.23E-06,1.15E-05,2.408990848,1.92869188,3.058543351,0.991615844,2.388793492,1.912521426,3.032900046
11/22/2019,G26-20,GLSE,26,20,20,37.6,0.38134,41.21,141.01,2.299,19.89304,0.07702,0.000094,3.36E-06,1.35E-05,1.02E-05,1.77E-05,4.050736801,3.053247245,5.326522378,0.991585607,4.016652311,3.027556023,5.281702925
1/31/2020,G26-22a,GLSE,26,22.5,23,17.1,0.37644,27.77,127.06,2.019,19.89304,0.05192,0.000065,2.32E-06,2.58E-06,1.95E-06,3.40E-06,1.122594523,0.846018612,1.478347944,0.990700936,1.112155445,0.838151431,1.464600692
11/24/2019,G26-25,GLSE,26,25,25.5,51.2,0.37932,35.66,132.77,2.296,19.89304,0.06666,0.000077,2.74E-06,8.89E-06,6.70E-06,1.17E-05,3.274895576,2.467857658,4.311141685,0.992173384,3.249264224,2.448542684,4.277400035
1/23/2020,G26-27,GLSE,26,27.5,28,10.6,0.38401,48.52,170.01,2.647,19.89304,0.09069,0.000116,4.14E-06,1.70E-05,1.28E-05,2.23E-05,4.137605467,3.11749274,5.443930941,0.99042076,4.097970351,3.087629529,5.39178222
11/24/2019,G26-30,GLSE,26,30,30,24.5,0.38167,42.11,127.59,2.037,19.89304,0.07871,0.000099,3.50E-06,2.05E-05,1.54E-05,2.69E-05,5.896624751,4.444722718,7.758526393,0.991020099,5.843673643,4.404809548,7.688855594
1/31/2020,G26-32,GLSE,26,32.5,32.5,42.3,0.38361,47.44,160.34,2.09,19.89304,0.08866,0.000136,4.83E-06,2.35E-05,1.77E-05,3.09E-05,4.9033097,3.693386018,6.448683492,0.991788657,4.863046943,3.663058359,6.39573114
11/24/2019,G26-35,GLSE,26,35,35,29.2,0.37422,21.7,201.42,2.757,19.89304,0.04058,0.000059,2.11E-06,1.51E-05,1.14E-05,1.98E-05,7.21291604,5.439948113,9.488610976,0.991222917,7.149607677,5.392201237,9.40532865
11/22/2019,M26-20a,MOCE,26,20,20.5,43.1,0.51026,395.01,46.8,2.518,19.89304,0.73723,0.000274,9.73E-06,6.64E-05,4.96E-05,9.09E-05,6.881902162,5.142475458,9.419721868,0.991823227,6.825630411,5.100426604,9.342698941
1/23/2020,M26-22,MOCE,26,22.5,22.5,255.1,0.40963,118.78,41.28,2.758,19.89304,0.22192,0.000066,2.34E-06,1.05E-05,7.89E-06,1.43E-05,4.497356317,3.372722916,6.107027061,1.001069976,4.502168381,3.376331649,6.113561433
11/24/2019,M26-25,MOCE,26,25,25,31.6,0.38283,45.29,36.84,2.393,19.89304,0.08466,0.000026,9.26E-07,4.12E-06,3.08E-06,5.59E-06,4.48352375,3.358443685,6.084520691,0.991326516,4.444635977,3.329314277,6.031746698
1/23/2020,M26-27,MOCE,26,27.5,28,110,0.3858,53.44,54.49,2.892,19.89304,0.09988,0.000038,1.33E-06,9.10E-06,6.80E-06,1.23E-05,6.86698085,5.133241949,9.256742405,0.994722689,6.830741657,5.106152235,9.207891696
11/24/2019,M26-30,MOCE,26,30,30,389.3,0.41714,139.36,29.74,2.691,19.89304,0.26035,0.000058,2.01E-06,1.09E-05,8.18E-06,1.47E-05,5.39792237,4.035056377,7.238048489,1.00701297,5.43577784,4.063354106,7.288808706
1/31/2020,M26-32,MOCE,26,32.5,32.5,401.5,0.37105,13.01,28.8,2.138,19.89304,0.02432,0.000007,2.29E-07,4.19E-06,3.13E-06,5.62E-06,18.15873403,13.57575364,24.35578282,1.007556743,18.29595491,13.67834212,24.53983321
11/24/2019,M26-35,MOCE,26,35,35,380.7,0.4211,150.22,35.3,2.97,19.89304,0.28063,0.000067,2.33E-06,1.25E-05,9.35E-06,1.66E-05,5.335349028,3.979489047,7.068971678,1.006630008,5.370722434,4.005873091,7.115839017
11/22/2019,R26-20,ROPS,26,20,20,24.5,0.37408,21.3,94.43,2.406,19.89304,0.03982,0.000031,1.11E-06,6.52E-07,4.86E-07,8.77E-07,0.592557371,0.441833765,0.796334066,0.991020099,0.587236264,0.437866142,0.789183065
1/23/2020,R26-22,ROPS,26,22.5,22.5,5.8,0.39392,75.69,85.52,2.214,19.89304,0.14144,0.000109,3.89E-06,5.07E-08,2.98E-08,8.16E-08,0.013176043,0.007748765,0.021216374,0.990213962,0.013047102,0.007672935,0.02100875
11/24/2019,R26-25,ROPS,26,25,25,24.6,0.40198,97.79,105.49,2.213,19.89304,0.18272,0.000174,6.19E-06,2.27E-05,1.69E-05,3.04E-05,3.697765436,2.758485926,4.959871908,0.991024413,3.664575821,2.733726896,4.915354146
1/31/2020,R26-27,ROPS,26,27.5,28,25.5,0.37144,14.06,128.2,2.862,19.89304,0.0263,0.000024,8.37E-07,5.65E-07,4.21E-07,7.58E-07,0.680665984,0.507394004,0.91350474,0.991063245,0.674583039,0.502859548,0.905340972
11/24/2019,R26-30,ROPS,26,30,30,30.4,0.37737,30.33,111.29,2.185,19.89304,0.0567,0.000058,2.05E-06,1.42E-05,1.06E-05,1.91E-05,6.984775698,5.205929538,9.367576964,0.991274714,6.92383153,5.160506314,9.285842176
1/31/2020,R26-32,ROPS,26,32.5,32.8,20.5,0.38012,37.87,87.95,2.355,19.89304,0.07078,0.000053,1.88E-06,6.44E-06,4.80E-06,8.64E-06,3.459444195,2.57839885,4.641989331,0.990847553,3.427781815,2.554800191,4.59950377
11/24/2019,R26-35,ROPS,26,35,35,19.5,0.37555,25.34,118.7,2.64,19.89304,0.04737,0.000043,1.51E-06,7.90E-06,5.89E-06,1.06E-05,5.268097308,3.924611045,7.069477904,0.990804426,5.219654128,3.888521994,7.004469997
6/6/2019,A20,ALRU,31,20,20.5,147.9,0.38362,47.46,43.81,2.577,19.89304,0.08871,0.00003,1.07E-06,5.11E-06,4.09E-06,6.49E-06,4.80930968,3.850629797,6.109430763,0.996372818,4.791865436,3.836662862,6.087270746
6/6/2019,A22,ALRU,31,22.5,22.5,58.8,0.37165,14.66,32.81,2.856,19.89304,0.02741,0.000006,2.23E-07,1.00E-07,8.02E-08,1.28E-07,0.451723781,0.361768562,0.575420458,0.99250215,0.448336824,0.359056076,0.571106042
6/6/2019,A25,ALRU,31,25,25,157.2,0.37681,28.78,32.26,2.384,19.89304,0.0538,0.000015,5.14E-07,1.47E-06,1.18E-06,1.87E-06,2.874981181,2.301278541,3.651829233,0.996778567,2.865719622,2.293865126,3.64006511
6/6/2019,A27,ALRU,31,27.5,27.5,92.5,0.37064,11.89,38.61,2.734,19.89304,0.02224,0.000006,2.22E-07,3.76E-07,3.01E-07,4.78E-07,1.69916833,1.360136265,2.160476672,0.993962599,1.68890977,1.351924577,2.147433008
6/6/2019,A30,ALRU,31,30,30,14.1,0.37718,29.82,31.01,2.695,19.89304,0.05574,0.000013,4.56E-07,8.89E-07,7.12E-07,1.13E-06,1.968071547,1.575645623,2.505437403,0.990571604,1.94951579,1.560789812,2.481815147
6/7/2019,A32,ALRU,31,32.5,32.5,122.5,0.37026,10.84,31.52,2.813,19.89304,0.02028,0.000005,1.61E-07,1.04E-07,8.30E-08,1.32E-07,0.648561019,0.51872178,0.823889415,0.995266322,0.64549094,0.516266318,0.819989388
6/7/2019,A35,ALRU,31,35,35,39.6,0.40474,105.35,32.98,2.408,19.89304,0.19684,0.000054,1.91E-06,3.83E-06,2.51E-06,4.86E-06,2.019345848,1.321614604,2.559638551,0.991672001,2.002528739,1.310608199,2.538321884
6/6/2019,G20,GLSE,31,20,20.5,21.8,0.38238,44.06,64.27,2.185,19.89304,0.08236,0.000048,1.72E-06,2.08E-06,1.57E-06,2.73E-06,1.220036938,0.91900941,1.602072441,0.990903624,1.208939023,0.910649755,1.587499388
6/6/2019,G22,GLSE,31,22.5,22.5,29.8,0.37343,19.54,193.33,2.41,19.89304,0.03653,0.000059,2.08E-06,3.74E-08,2.72E-08,5.09E-08,0.018099041,0.013188247,0.024657669,0.991248815,0.017940653,0.013072834,0.024441885
6/6/2019,G25,GLSE,31,25,25,53.5,0.38571,53.19,227.35,2.727,19.89304,0.09941,0.000166,5.88E-06,3.08E-05,2.32E-05,4.04E-05,5.272778248,3.975953609,6.922176261,0.992272856,5.23203473,3.945230843,6.868687608
6/6/2019,G27,GLSE,31,27.5,27.5,14.6,0.38484,50.79,206.36,2.575,19.89304,0.09493,0.000152,5.41E-06,1.73E-05,1.30E-05,2.27E-05,3.224235784,2.429298507,4.232718804,0.990593157,3.193905905,2.406446477,4.192902283
6/6/2019,G30,GLSE,31,30,30,20.5,0.38032,38.41,106.06,2.309,19.89304,0.07179,0.000066,2.34E-06,1.04E-05,7.86E-06,1.37E-05,4.486676673,3.382626629,5.890837108,0.990847553,4.445612602,3.351667318,5.836921534
6/7/2019,G32,GLSE,31,32.5,32.5,18.3,0.40049,93.71,112.5,2.309,19.89304,0.17511,0.000171,6.06E-06,3.58E-05,2.70E-05,4.71E-05,5.966335777,4.497618713,7.840240968,0.990752678,5.91116315,4.456027785,7.767739735
6/7/2019,G35,GLSE,31,35,34.5,32,0.37956,36.34,107.95,2.611,19.89304,0.06792,0.000056,2.00E-06,1.05E-05,7.95E-06,1.38E-05,5.329109852,4.017599316,6.996741381,0.991343784,5.282979928,3.982822109,6.936176076
6/6/2019,M20,MOCE,31,20,20,57.3,0.4091,117.32,45.22,2.753,19.89304,0.21919,0.000072,2.55E-06,9.47E-06,7.13E-06,1.29E-05,3.73659551,2.811283384,5.091894469,0.992437245,3.708336553,2.790022337,5.053385719
6/6/2019,M22,MOCE,31,22.5,23,90.4,0.36854,6.13,53.34,2.475,19.89304,0.01147,0.000005,1.75E-07,1.01E-07,7.54E-08,1.36E-07,0.579044054,0.433250339,0.782129473,0.993871466,0.575495363,0.43059515,0.777336166
6/6/2019,M25,MOCE,31,25,25,101.8,0.41452,132.19,49.35,2.983,19.89304,0.24696,0.000082,2.89E-06,1.19E-05,8.85E-06,1.59E-05,4.119884197,3.07707329,5.528561602,0.994366388,4.096674368,3.059738253,5.497415831
6/6/2019,M27,MOCE,31,27.5,28,30.4,0.53116,452.46,37.77,2.01,19.89304,0.84428,0.000317,1.13E-05,5.91E-05,4.43E-05,7.89E-05,5.29227941,3.968581955,7.059372201,0.991274714,5.246102757,3.933954942,6.99777716
6/6/2019,M30,MOCE,31,30,29.5,141.9,0.40955,118.54,38.45,2.83,19.89304,0.22148,0.00006,2.13E-06,1.35E-05,1.01E-05,1.80E-05,6.357271404,4.76820319,8.499861269,0.996111219,6.332549367,4.749660692,8.46680717
6/7/2019,M32,MOCE,31,32.5,32.5,198.5,0.43781,196.07,39.7,2.896,19.89304,0.36621,0.0001,3.54E-06,9.37E-06,7.00E-06,1.25E-05,2.648693186,1.979268756,3.530657986,0.998584443,2.644943809,1.976466988,3.525660138
6/7/2019,M35,MOCE,31,35,34.5,13.3,0.65756,800.37,37.07,2.073,19.89304,1.49157,0.000534,1.90E-05,1.47E-05,1.10E-05,1.97E-05,0.781351821,0.584426803,1.047831498,0.990537121,0.773957984,0.578896443,1.037915995
6/6/2019,R20,ROPS,31,20,20,19.2,0.38759,58.33,120.58,2.489,19.89304,0.10901,0.000106,3.75E-06,1.13E-05,8.43E-06,1.53E-05,3.047900739,2.265914137,4.111062387,0.990791488,3.019834109,2.245048439,4.07320562
6/6/2019,R22a,ROPS,31,22.5,23,44.3,0.37386,20.72,128.32,2.532,19.89304,0.03873,0.000039,1.39E-06,5.76E-06,4.28E-06,7.76E-06,4.164686917,3.096117115,5.616603924,0.991875087,4.130849196,3.070961433,5.570969506
6/6/2019,R25,ROPS,31,25,25,24.8,0.42292,155.22,125.42,2.443,19.89304,0.28997,0.000298,1.06E-05,3.65E-05,2.72E-05,4.93E-05,3.484713343,2.59105809,4.700417234,0.991033042,3.453466065,2.567824181,4.65826879
6/6/2019,R27,ROPS,31,27.5,27.5,31.5,0.39583,80.93,151.48,2.664,19.89304,0.15123,0.000172,6.11E-06,3.73E-05,2.78E-05,5.04E-05,6.165031525,4.583099354,8.314757942,0.991322199,6.111532606,4.54332813,8.242604127
6/6/2019,R30,ROPS,31,30,29.5,33.3,0.3705,11.5,108.95,2.336,19.89304,0.02151,0.00002,7.13E-07,1.50E-05,1.11E-05,2.02E-05,21.19753025,15.7529182,28.58302906,0.991399911,21.01522961,15.6174417,28.33721247
6/7/2019,R32,ROPS,31,32.5,32.5,23.7,0.38416,48.93,134.58,2.342,19.89304,0.09145,0.000105,3.73E-06,5.65E-05,4.20E-05,7.62E-05,15.2577647,11.34889163,20.57608476,0.990985585,15.12022487,11.24658801,20.39060339
6/7/2019,R35,ROPS,31,35,34,27.3,0.37143,14.06,184.55,2.106,19.89304,0.0263,0.000046,1.64E-06,6.50E-05,4.83E-05,8.76E-05,40.03752671,29.77040136,53.99768246,0.991140917,39.68283092,29.5066629,53.51931251
